"Ebelik Yönetmeliği'ne göre ""doğum sonrası dönem"" (puerperium) ne kadarlık bir süreyi ifade eder?",Doğumdan sonraki ilk altı hafta.
"Ebelik Yönetmeliği'ne göre yaklaşık 40 haftalık süreci kapsayan ""gebelik dönemi"" ne zaman sona erer?",Fetüsün doğumuyla.
Ebelik anabilim dallarında yüksek lisans eğitimini tamamlayıp diploması Bakanlıkça tescil edilen ebe hangi unvanı alır?,Uzman ebe.
Klinik uyum sürecini kolaylaştırmak ve normal doğumu teşvik eden oryantasyon programını yürütmekle görevli ebe hangisidir?,Rehber ebe.
Doğumhanede sorumlu ebe olarak görevlendirilecek kişinin öncelikle sahip olması gereken klinik deneyim süresi ne kadardır?,En az üç yıl düzenli çalışma.
"Ebe, yetişkin bir bireyde kardiyo-pulmoner resusitasyon ihtiyacı saptadığında temel yaşam desteğini başlattıktan sonra eş zamanlı olarak ne yapmalıdır?",Mavi Kod Ekibi veya 112 Acil Yardım Ekibine haber vermek.
Ebelerin adli olgu değerlendirme sürecine dâhil olmasını gerektiren özel gebelik durumu nedir?,18 yaş altı gebelikler.
"Ebelik Yönetmeliği uyarınca, ebenin normalden sapma tespit ettiği gebeleri yönlendirmesi gereken makam hangisidir?",İlgili hekim veya ilgili birim.
Görevi teslim alacak ebe gelmeden ve hasta başında sözlü/yazılı teslim yapmadan görev yerinden ayrılmak yasak mıdır?,"Evet, görev yerinden ayrılamaz."
Gebelikte oluşabilecek riskli belirtileri tanıma ve normalden sapma durumunda sevk sürecini başlatma yetkisi kime aittir?,Ebe.
"Ebe, fetal iyilik halini değerlendirmek için hangi elektronik yöntemi uygulama yetkisine sahiptir?",Non-stress test (NST).
"Kanama kontrolü sırasında şok bulguları saptayan bir ebe, hekimin bulunmadığı bir ortamda nasıl hareket etmelidir?",Gerekli müdahaleleri uygulayıp sevk sürecini başlatmalıdır.
Doğum eylemi sırasında pelvisin vajinal doğuma uygunluğunu ve fetal pozisyonu belirlemek için kullanılan manevra hangisidir?,Leopold manevraları.
"Ebe, doğum sırasında travayda maternal ve fetal iyilik halini izlemek için hangi grafiksel aracı kullanır?",Partograf.
"Makat gelişi doğumlarda, sevkin mümkün olmadığı acil durumlarda doğumu yaptırma yetkisi kime verilmiştir?",Ebe.
Normal doğum sırasında ebe hangi cerrahi kesiyi uygulama endikasyonu oluştuğunda bu işlemi yapabilir?,Epizyotomi.
"Ebe, hangi derecedeki perineal ve vajinal laserasyonlara doğrudan müdahale edebilir?",1. ve komplike olmayan 2. derece laserasyonlar.
"Ebe, komplike 2. derece veya daha ileri perineal laserasyonlarda öncelikle hangi önlemleri alarak sevk sürecini başlatır?",Kanama ve enfeksiyon önlemleri.
Hekimin bulunmadığı postpartum kanama durumlarında ebenin uygulayabileceği acil kompresyon yöntemlerinden biri nedir?,İnternal bimanuel kompresyon (veya aortik kompresyon/balon tamponad).
Doğum sonrası plasenta ve eklerinin muayenesinden sonra ebenin involüsyonun sağlanması için değerlendirmesi gereken temel yapı hangisidir?,Uterus kontraksiyonları ve tonüsü.
Operatif doğum veya sezaryen kararı verilmiş gebelerde üretral mesane sondası uygulama yetkisi kime aittir?,Ebe.
Doğum sonrasında anne-bebek bağlanmasını desteklemek için ebe tarafından uygulanması gereken ilk adım nedir?,Anne-bebek ten temasını sağlamak.
Emzirmenin tıbbi olarak baskılanması gereken durumlarda ilaç dışı yöntemleri uygulama ve süreci takip etme sorumluluğu kime aittir?,Ebe.
"Lohusalık döneminde sepsisten şüphelenen bir ebe, hekimin olmadığı durumda ne yapmalıdır?",Gerekli önlemleri alarak sevk sürecini başlatmalıdır.
Yenidoğanda enteral beslenmeyi sağlamak amacıyla nazogastrik veya orogastrik sonda uygulama yetkisi ebeye verilmiş midir?,"Evet, bu yetki ebeye verilmiştir."
Ebenin rahim içi araç (RİA) uygulaması yapabilmesi için hangi belgeye sahip olması zorunludur?,Bakanlık tarafından düzenlenen RİA yetki belgesi.
"Sorumlu ebe olarak atanacak ebe bulunamadığı takdirde, sağlık kurumu hangi şartla diğer ebeleri görevlendirebilir?",Gerekçelendirmek koşuluyla.
Sağlık kuruluşunda ebelere yönelik çalışma çizelgelerini hazırlama ve amirin onayına sunma görevi kime aittir?,Sorumlu ebe.
Rehber ebe görevlendirmesinde öncelikli olarak hangi unvana sahip ebeler tercih edilir?,En az üç yıl deneyimli uzman ebeler.
"Ebe, gebelik döneminde hekim tarafından istemde bulunulan hangi laboratuvar işlemlerini yürütür?",Test sonuçlarının değerlendirilmesi için gebeyi hekime yönlendirir ve danışmanlık yapar.
"Fetüs, yenidoğan ve çocuk haklarını korumak amacıyla her türlü ihmal ve istismar durumunda bildirim yapma görevi kime aittir?",Ebe.
"Normal doğum izleminde ebe, bimanuel vajinal muayene ile serviksin hangi iki özelliğini değerlendirir?",Dilatasyon (açılma) ve efasman (silinme).
"Ebelik Yönetmeliği'ne göre, ebenin doğum sırasında kordon ile ilgili yapması gereken işlem nedir?",Umbilikal kordu klemplemek ve kesmek.
Ebelerin üreme sağlığı kapsamında kadın haklarını korumaya yönelik hangi durumları bildirme yükümlülüğü vardır?,"Şiddet, ihmal ve istismar."
"Sorumlu ebe, birimdeki ebe stajyerlerinin eğitimi için neyi sağlamakla yükümlüdür?",Uygun eğitim ortamını sağlamak.
"Ebenin doğum öncesinde, esnasında ve sonrasında anneye karşı üstlendiği temel psikolojik rol nedir?",Destekleyici rol.
Doğum sırasında maternal ve fetal iyilik halini izlemek için ebenin kullandığı el tipi cihaz hangisidir?,El doppleri (veya fetoskop).
"Ebe, doğum eyleminde kordon prolapsusu tespit ettiğinde hekim gelene kadar ne yapmalıdır?",Acil durum tedbirlerini almalıdır.
"Lohusa izlemi sırasında ""annelik hüznü"" veya ""depresyon"" saptayan bir ebe nasıl bir yol izler?",İlgili hekime haber verir ve hekimle iş birliği yapar.
Ebelerin çocuk sağlığı hizmetleri kapsamında büyüme ve gelişme takibi dışında katıldığı koruyucu hizmet hangisidir?,Bağışıklama (aşı) hizmetleri.
"Ebelik Yönetmeliği'ne göre ""doğum izlemi"" tanımı hangi fizyolojik olaylarla başlar?",Serviksin açılmasına ve silinmesine neden olan kontraksiyonlar.
Ebenin gebelik öncesi dönemdeki temel amacı nedir?,Kadının ruhsal ve fiziksel olarak gebeliğe hazırlanması.
"Birinci basamak sağlık hizmetlerinde ebe için ""ilgili hekim"" ifadesi kimi temsil eder?",Bireyin bağlı bulunduğu aile hekimini.
"Ebeler, ebelik bakımı sunarken hangi bilimsel temele dayalı hareket etmek zorundadır?",Kanıta dayalı ebelik bakımı.
"Ebe, bulaşıcı bir hastalık saptadığında veya şüphelendiğinde nereye bildirim yapmalıdır?",İlgili mercilere.
"Ebe, gebelik döneminde fetüsün doğumuna kadar geçen sürede hangi koruyucu tıbbi hizmeti sunar?",Aşılama hizmetleri.
Doğum korkusu ile başa çıkmada ebe kime danışmanlık verir?,Gebe ve ailesine.
Doğum sırasında ebenin çevresel uyaranları kontrol altına almasının temel amacı nedir?,Güvenli doğum ortamını ve fizyolojik süreci sağlamak.
"Ebe, doğum raporunu hangi verileri içerecek şekilde düzenlemekle sorumludur?",Maternal/fetal öykü ve tıbbi bilgiler.
"Yenidoğanda risk belirtilerini tanıyan ebe, hekimle iş birliği yaparken normalden sapma halinde hangi süreci başlatır?",Sevk süreci.
Lohusa izleminde ebenin fiziksel muayene dışında değerlendirmesi gereken durum nedir?,Doğum sonrası mental durum.
"Ebe, üreme çağındaki kadınlara doğurganlığın düzenlenmesi konusunda hangi hizmetleri verir?",Eğitim ve danışmanlık.
"Sorumlu ebe, birimindeki tıbbi malzeme eksikliklerini kime bildirmekle yükümlüdür?",Yönetime.
"Uzman ebe, klinik rollerinin yanı sıra hangi konularda kurumlara bilirkişilik yapabilir?",Uzmanlık alanı ve etik konular.
"Ebelik Yönetmeliği uyarınca, ebeler hangi öğrencilerin eğitimine destek vermekle yükümlüdür?",Ebelik öğrencileri ve ebe yardımcıları.
Doğum sonrası kanama takibinde ebenin değerlendirmesi gereken temel klinik tablo nedir?,Şok ve şok öncesi bulguları.
"Ebe, acil durumlarda hekimin hangi tür tıbbi istemini kabul edebilir?",Şifahi (sözlü) tıbbi istem.
Gebelikte fundus yüksekliği takibinde normalden sapma tespit eden ebe ne yapmalıdır?,Olguyu ilgili hekime yönlendirmelidir.
Doğum eylemi süresince ebenin gebenin beslenmesine yönelik yetkisi nedir?,Sıvı ve besin alımına yönelik düzenlemeleri yapmak.
"Ebe, yenidoğanın güvenliğini sağlamak için hangi işlemi ilk bakımda gerçekleştirir?",Kimliklendirme.
Anne sütünün azalması durumunda ebenin görevi nedir?,Anne sütünün artırılmasına yönelik danışmanlık ve takip.
Anne ölümü vakalarında ebe hangi prosedürü izlemekle yükümlüdür?,Bakanlık uygulamaları doğrultusunda gerekli belgeleri hazırlamak.
Ebelik uygulamalarında enfeksiyon kontrolü için ebenin temel sorumluluğu nedir?,Enfeksiyon önleme ve kontrol yöntemlerini kullanmak.
"Ebe, üreme sağlığı politikalarının yürütülmesinde hangi düzeyde görev alır?",Ulusal sağlık politikalarının yürütülmesinde.
Jinekolojik cerrahi işlemlerde ebenin bakım sorumluluğu hangi aşamaları kapsar?,Ameliyat öncesi ve sonrası bakım.
Ebenin gebe ve ailesine günlük yaşam aktivitelerini planlama görevi hangi dönemde başlar?,Gebelik öncesi ve gebelik dönemi.
"Doğumun fizyolojik sürecini yöneten ebe, travayın uyarılmasını hangi yetki kapsamında sağlar?",Ebelik uygulamaları kapsamında.
"Ebe, hangi durumda sevk sırasında doğumu gerçekleştirme yetkisine sahiptir?",Hekimin olmadığı ve sevkin mümkün olmadığı hallerde.
Doğum sonrası dönemde ebenin lohusaya yaptırması gereken fiziksel aktivite türü nedir?,Toparlanma egzersizleri.
Yenidoğandan laboratuvar incelemesi için numune alma yetkisi ebeye verilmiş midir?,"Evet; kan, idrar, gaita ve benzeri numuneleri alabilir."
