Düşük riskli gebelerde fetüs izlemi için kişiselleştirilmiş bakım planının bir parçası olarak önerilen yöntem hangisidir?,Aralıklı Oskültasyon
Doğum süreci boyunca fetal kalp atış hızı izleme yönteminin değişebilmesinin temel nedeni nedir?,Risk değerlendirmesinin sürekli bir süreç olması.
Aralıklı oskültasyon işlemi hangi iki araçla gerçekleştirilebilir?,Pinard stetoskop veya el Doppleri.
Doğumun birinci evresinde aralıklı oskültasyon ne zaman ve ne kadar süreyle uygulanmalıdır?,Kontraksiyondan hemen sonra en az $30$ saniye boyunca.
Aralıklı oskültasyon düşük riskli gebelerde hangi zaman aralıklarıyla tekrarlanmalıdır?,Her $15-30$ dakikada bir.
Anne ve fetal kalp atışlarını ayırt etmek için anne nabzı hangi sıklıkla palpe edilmelidir?,Her saat başı.
Aralıklı oskültasyon sırasında fetal kalp atışı tespit edilemezse ebe ne yapmalıdır?,Acil ultrason değerlendirmesi için hekime bilgi vermelidir.
Doğum eylemi başlangıcından itibaren FKH'da kaç atımlık bir azalma ebeyi daha sık oskültasyon yapmaya yöneltmelidir?,$20$ atım ve üzerindeki azalmalar.
Aralıklı oskültasyon sırasında klinik tabloda riskli bir durum gelişirse hangi fetal izlem yöntemine geçilmelidir?,Sürekli Elektronik Fetal Monitörizasyon (EFM).
Daha önce sezaryen doğum öyküsü olan bir gebede hangi fetal izleme yöntemi tercih edilmelidir?,Sürekli Elektronik Fetal Monitörizasyon (EFM).
Fetal büyüme kısıtlılığında (tahmini fetal ağırlık $3$. persentil altı) hangi fetal değerlendirme yöntemi önerilir?,Sürekli Elektronik Fetal Monitörizasyon (EFM).
Uterus kontraksiyonları $10$ dakikada kaç adet olduğunda intrapartum risk faktörü olarak kabul edilip EFM'ye geçilmelidir?,$5$ veya daha fazla kasılma.
EFM öncesinde fundus yüksekliğini ve fetüsün sırt pozisyonunu belirlemek için kullanılan fiziksel muayene yöntemi nedir?,Leopold manevraları.
EFM uygulamasında uterus kasılmalarını takip eden Toko transduseri karın üzerinde nereye yerleştirilmelidir?,Uterin fundusun en tepe noktasına.
EFM işlemi sırasında gebenin hangi pozisyonda yatması önerilir?,Sol yan pozisyon.
Doğumun aktif fazında EFM trasesi kaç dakikada bir değerlendirilmelidir?,$30$ dakikada bir.
Doğumun geçiş fazında EFM trasesi hangi sıklıkla değerlendirilmelidir?,$15$ dakikada bir.
Normal bazal fetal kalp hızı (FKH) aralığı nedir?,$110-160$ atım/dakika.
Fetal taşikardi tanısı koymak için bazal kalp hızının en az kaç dakika süreyle $160$ atım/dakika üzerinde olması gerekir?,$10$ dakika.
FKH'nın en az $10$ dakika değerlendirilmesi sonucunda $110$ atım/dakika altında olmasına ne ad verilir?,Fetal bradikardi.
"Fetal oksijenizasyonun yeterliliğini gösteren, FKH'nın bazal düzeydeki iniş çıkışlarını ifade eden parametre nedir?",Variabilite.
Variabilite yokluğu (No variability) tanımında FKH amplitüdü hangi aralıktadır?,$0-2$ atım/dakika.
Azalmış variabilitede (Minimal variability) FKH amplitüdü kaç atım aralığındadır?,$3-5$ atım/dakika.
Normal variabilite durumunda FKH'ndaki amplitüd değerleri nedir?,$6-25$ atım/dakika.
Artmış variabilitenin (Marked variability) tanım kriteri nedir?,Amplitüdün $25$ atım/dakika ve üzerinde olması.
Doğumun birinci evresinde akselerasyon kabul edilmesi için FKH artışının en az ne kadar sürmesi gerekir?,$15$ saniye.
Akselerasyon tanımı için bazal kalp hızında en az kaç atımlık bir artış izlenmelidir?,$15$ atım.
"Uterus kontraksiyonu ile eş zamanlı başlayan, fetal baş basısına bağlı görülen deselerasyon türü hangisidir?",Erken deselerasyon.
Erken deselerasyonun EFM trasesinde oluşturduğu karakteristik şekil nedir?,Ters ayna şekli.
Erken deselerasyonda FKH'daki düşüş en fazla kaç atım olmaktadır?,$15$ atım.
Umbilikal kordonun sıkışmasına bağlı meydana geldiği kabul edilen deselerasyon türü nedir?,Variabl (Değişken) deselerasyon.
